country_region_code,country_region,sub_region_1,sub_region_2,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
GB,United Kingdom,Bath and North East Somerset,,GB-BAS,,15/02/20,-13,-10,-48,-10,1,3
GB,United Kingdom,Bath and North East Somerset,,GB-BAS,,16/02/20,-2,-3,-26,2,-3,
GB,United Kingdom,Bath and North East Somerset,,GB-BAS,,17/02/20,22,2,32,7,-9,1
GB,United Kingdom,Bath and North East Somerset,,GB-BAS,,18/02/20,26,1,38,12,-9,1
GB,United Kingdom,Bath and North East Somerset,,GB-BAS,,19/02/20,22,0,32,6,-11,2
GB,United Kingdom,Bath and North East Somerset,,GB-BAS,,20/02/20,16,2,17,4,-10,2
GB,United Kingdom,Bath and North East Somerset,,GB-BAS,,21/02/20,15,-1,37,8,-14,2
GB,United Kingdom,Bath and North East Somerset,,GB-BAS,,22/02/20,11,-1,-4,16,3,-1
GB,United Kingdom,Bath and North East Somerset,,GB-BAS,,23/02/20,6,1,-2,15,2,
GB,United Kingdom,Bath and North East Somerset,,GB-BAS,,24/02/20,-4,0,-14,2,3,1
GB,United Kingdom,Bath and North East Somerset,,GB-BAS,,25/02/20,1,2,-1,10,7,0
GB,United Kingdom,Bath and North East Somerset,,GB-BAS,,26/02/20,7,0,14,5,4,0
GB,United Kingdom,Bath and North East Somerset,,GB-BAS,,27/02/20,2,3,10,6,6,0
GB,United Kingdom,Bath and North East Somerset,,GB-BAS,,28/02/20,-3,0,-23,11,4,1
GB,United Kingdom,Bath and North East Somerset,,GB-BAS,,29/02/20,2,3,-31,7,5,0
GB,United Kingdom,Bath and North East Somerset,,GB-BAS,,01/03/20,19,6,30,31,5,-1
GB,United Kingdom,Bath and North East Somerset,,GB-BAS,,02/03/20,6,3,12,6,5,0
GB,United Kingdom,Bath and North East Somerset,,GB-BAS,,03/03/20,12,3,14,8,6,-1
GB,United Kingdom,Bath and North East Somerset,,GB-BAS,,04/03/20,0,0,-11,1,4,1
GB,United Kingdom,Bath and North East Somerset,,GB-BAS,,05/03/20,-2,7,-8,3,5,1
GB,United Kingdom,Bath and North East Somerset,,GB-BAS,,06/03/20,3,5,28,8,6,0
GB,United Kingdom,Bath and North East Somerset,,GB-BAS,,07/03/20,2,4,4,11,8,-1
GB,United Kingdom,Bath and North East Somerset,,GB-BAS,,08/03/20,4,3,8,16,4,-1
GB,United Kingdom,Bath and North East Somerset,,GB-BAS,,09/03/20,1,5,-1,-2,2,1
GB,United Kingdom,Bath and North East Somerset,,GB-BAS,,10/03/20,-3,2,-1,2,3,1
